ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.275743,3.105021,9.505604,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.275743,3.105021,9.606178,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.105021,9.700976,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.105021,9.803219,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757443,3.105021,9.900256,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757446,3.105021,10.00229,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757438,3.105021,10.10186,,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757429,3.105021,10.20362,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.275743,3.105021,10.3046,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.105021,10.40247,,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757431,3.105021,10.50442,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757437,3.105021,10.60269,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757433,3.105021,10.70281,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105021,10.80392,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105021,10.90404,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.105021,11.00378,,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757432,3.105021,11.10075,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757444,3.105021,11.20419,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757441,3.105021,11.30538,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757441,3.105021,11.40378,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757442,3.105021,11.50116,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757444,3.105021,11.60222,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757439,3.105021,11.701,,NONE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757433,3.105022,11.80229,,NONE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105022,11.90031,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105022,12.00397,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105022,12.10038,,NONE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757436,3.105022,12.20341,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757434,3.105023,12.30074,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105022,12.4046,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105022,12.50159,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757435,3.105022,12.60115,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757434,3.105022,12.70335,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275744,3.105022,12.80376,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105023,12.9026,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105022,13.00534,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105022,13.10219,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105022,13.20453,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757438,3.105022,13.30436,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105022,13.40144,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757435,3.105022,13.50195,,NONE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757439,3.105024,13.60279,,NONE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757437,3.105024,13.70305,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105024,13.80208,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757439,3.105024,13.90058,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757442,3.105024,14.00321,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757438,3.105024,14.10079,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105024,14.20311,,NONE
