ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105017,4.306809,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105017,4.402196,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105017,4.500202,,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757432,3.105017,4.601552,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105017,4.702156,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105017,4.801513,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757439,3.105017,4.902034,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105017,5.003192,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.105018,5.105543,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105018,5.208189,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105018,5.302958,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105018,5.402462,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105018,5.504393,,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757432,3.105018,5.60073,,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757435,3.105018,5.70659,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757436,3.105018,5.806134,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.275743,3.105018,5.902984,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105018,6.00356,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.105018,6.100199,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105018,6.207531,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105018,6.302702,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105018,6.402224,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.105018,6.503314,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105018,6.609275,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105018,6.705436,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105018,6.80289,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105018,6.904439,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.275743,3.105018,7.005696,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.105018,7.102954,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757436,3.105018,7.205192,,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757434,3.105018,7.304043,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757438,3.105018,7.401585,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105018,7.500683,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105018,7.607358,,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757431,3.105018,7.700987,,NONE
